N_hat,N_sd,T_hat,T_sd,R_hat,R_sd,pub_id,date,year
0.0,0.0,0.18881429810976208,0.10673798899213037,-0.18881429810976208,0.053368994496065185,p189,1969-01-01,1969
0.0,0.0,0.16266083937486253,0.09173484506302243,-0.16266083937486253,0.045867422531511215,p190,1969-09-01,1969
0.0,0.0,0.28638642114390034,0.1364132776416877,-0.28638642114390034,0.06820663882084385,p187,1970-01-01,1970
0.0,0.0,0.20808498439974416,0.12079412555898493,-0.20808498439974416,0.060397062779492465,p186,1970-06-01,1970
0.0,0.0,0.37744353098833033,0.12380880615782146,-0.37744353098833033,0.06190440307891073,p188,1970-08-01,1970
0.0,0.0,0.15914072377793867,0.0833825356301915,-0.15914072377793867,0.04169126781509575,p116,1971-01-01,1971
0.0,0.0,0.21092544655946927,0.12292738340003118,-0.21092544655946927,0.06146369170001559,p117,1971-07-01,1971
0.0,0.0,0.15892177911846342,0.05897506158517556,-0.15892177911846342,0.02948753079258778,p110,1971-12-01,1971
0.0,0.0,0.18115546465323862,0.10195844849960538,-0.18115546465323862,0.05097922424980269,p216,1972-01-01,1972
0.0,0.0,0.23118966328575227,0.11601122029187087,-0.23118966328575227,0.058005610145935436,p217,1972-04-01,1972
0.0,0.0,0.1474736071995607,0.070512303835835,-0.1474736071995607,0.0352561519179175,p215,1972-11-01,1972
0.0,0.0,0.23892575032601573,0.1549085248079002,-0.23892575032601573,0.0774542624039501,p108,1973-01-01,1973
0.0,0.0,0.19304052026395616,0.1442722982950868,-0.19304052026395616,0.0721361491475434,p109,1973-01-01,1973
0.0,0.0,0.18856166306770722,0.12804152398706423,-0.18856166306770722,0.06402076199353211,p239,1973-11-01,1973
0.0,0.0,0.25367461179919387,0.15196399938193175,-0.25367461179919387,0.07598199969096588,p107,1973-12-01,1973
0.0,0.0,0.3098321102773022,0.15413837404658792,-0.3098321102773022,0.07706918702329396,p237,1974-01-01,1974
0.0,0.0,0.1858391504861552,0.11866117601944393,-0.1858391504861552,0.05933058800972196,p238,1974-01-01,1974
0.0,0.0,0.241896534693992,0.12498759031011852,-0.241896534693992,0.06249379515505926,p240,1974-10-01,1974
0.0,0.0,0.20162091612856667,0.13376726781749756,-0.20162091612856667,0.06688363390874878,p218,1975-12-01,1975
0.0,0.0,0.20231955130958026,0.11444484567128724,-0.20231955130958026,0.05722242283564362,p219,1975-12-01,1975
0.3198594236852281,0.12677846955499517,0.2405893141151087,0.1310921492514613,0.07927010957011937,0.12893530940322823,p191,1977-03-01,1977
0.2910719215450492,0.13684246077652923,0.23187574483512338,0.12755237166210623,0.0591961767099258,0.13219741621931774,p155,1978-01-01,1978
0.16047305214530588,0.08662935383000141,0.22515955143795993,0.1558849647115833,-0.06468649929265405,0.12125715927079236,p153,1978-06-01,1978
0.23416877396710412,0.11828783632225343,0.24412332710905274,0.144583142252189,-0.009954553141948624,0.1314354892872212,p154,1978-07-01,1978
0.22974800370202705,0.11762520022421984,0.2683512207418666,0.1429091537896096,-0.03860321703983957,0.13026717700691473,p80,1979-09-01,1979
0.17203715446407467,0.10289994616746659,0.2434653023742391,0.1732783138214809,-0.07142814791016444,0.13808912999447376,p160,1980-01-01,1980
0.15364173164830622,0.05647763256603908,0.2316619041515825,0.15021088977756597,-0.07802017250327628,0.10334426117180252,p144,1980-01-01,1980
0.15481780749129345,0.07309737920184527,0.24700924676490915,0.15370798132922767,-0.0921914392736157,0.11340268026553646,p164,1980-01-01,1980
0.15289466080590114,0.056193802971623096,0.25595294362389887,0.14194508325151503,-0.10305828281799773,0.09906944311156907,p163,1980-01-01,1980
0.14574487874432215,0.0741546575283245,0.25823509219508517,0.14553939881604963,-0.11249021345076302,0.10984702817218706,p161,1980-01-01,1980
0.6098947588746245,0.08994174284214508,0.6318979863074299,0.1581147755019986,-0.02200322743280536,0.12402825917207183,p162,1980-06-01,1980
0.3052706963874707,0.15870892369470094,0.27051005316262644,0.16303450992105878,0.034760643224844234,0.16087171680787987,p222,1981-02-01,1981
0.176371216081506,0.11738326505006841,0.25855495989028904,0.12779759258411602,-0.08218374380878304,0.12259042881709221,p220,1981-06-01,1981
0.23914140679646692,0.1268841505707183,0.3443616688412301,0.15836855509337833,-0.10522026204476317,0.14262635283204833,p221,1981-06-01,1981
